household_id,rooms,num_adults,Target
21eb7fcc1,3,1,True
0e5d7a658,4,1,True
2c7317ea8,8,1,True
2b58d945f,5,2,True
2b58d945f,5,2,True
2b58d945f,5,2,True
2b58d945f,5,2,True
d6dae86b7,2,2,True
d6dae86b7,2,2,True
d6dae86b7,2,2,True
d6dae86b7,2,2,True
bb2094100,3,1,True
bb2094100,3,1,True
c51f9c774,4,2,True
c51f9c774,4,2,True
6893e65ca,2,2,True
6893e65ca,2,2,True
6893e65ca,2,2,True
6893e65ca,2,2,True
d29058053,4,2,True
d29058053,4,2,True
ec0e8edce,3,2,True
ec0e8edce,3,2,True
3e16fab89,1,3,True
3e16fab89,1,3,True
3e16fab89,1,3,True
1e84a2ac8,5,1,True
759df0194,4,3,True
759df0194,4,3,True
759df0194,4,3,True
f2fcf00fd,5,2,True
f2fcf00fd,5,2,True
cb6bb28dd,5,4,True
cb6bb28dd,5,4,True
cb6bb28dd,5,4,True
cb6bb28dd,5,4,True
cb6bb28dd,5,4,True
cbf24a06c,4,2,True
cbf24a06c,4,2,True
cbf24a06c,4,2,True
922a1f87a,5,2,True
922a1f87a,5,2,True
a57a1f2f4,8,2,True
a57a1f2f4,8,2,True
a57a1f2f4,8,2,True
9b084b23d,4,2,True
9b084b23d,4,2,True
6ddd55b3e,5,2,True
6ddd55b3e,5,2,True
6ddd55b3e,5,2,True
652a7ffa0,5,2,False
652a7ffa0,5,2,False
652a7ffa0,5,2,False
652a7ffa0,5,2,False
b9d64d752,5,2,True
b9d64d752,5,2,True
b9d64d752,5,2,True
b9d64d752,5,2,True
09a26c158,1,1,False
e2f9717d3,3,2,True
e2f9717d3,3,2,True
65d20b573,6,3,True
65d20b573,6,3,True
65d20b573,6,3,True
d9281c805,6,1,False
5f7699c70,3,3,True
5f7699c70,3,3,True
5f7699c70,3,3,True
5f7699c70,3,3,True
5f7699c70,3,3,True
a0a822586,6,3,True
a0a822586,6,3,True
a0a822586,6,3,True
a0a822586,6,3,True
b2ceb3e5c,6,2,True
b2ceb3e5c,6,2,True
b2ceb3e5c,6,2,True
69bfa2895,6,2,True
69bfa2895,6,2,True
69bfa2895,6,2,True
bcc196e5a,7,3,True
bcc196e5a,7,3,True
bcc196e5a,7,3,True
fca2c4361,5,3,True
fca2c4361,5,3,True
fca2c4361,5,3,True
2b1a06ddc,4,2,True
2b1a06ddc,4,2,True
caa343c15,4,2,True
caa343c15,4,2,True
caa343c15,4,2,True
caa343c15,4,2,True
0b7ee52ff,4,1,True
14aeb8605,4,3,True
14aeb8605,4,3,True
14aeb8605,4,3,True
14aeb8605,4,3,True
14aeb8605,4,3,True
07a5de1ba,3,1,True
07a5de1ba,3,1,True
07a5de1ba,3,1,True
5e72b4b07,6,2,True
5e72b4b07,6,2,True
5e72b4b07,6,2,True
288b0f0fa,4,2,True
288b0f0fa,4,2,True
288b0f0fa,4,2,True
ed19e63e8,5,1,True
bb809b379,6,1,True
f954c1672,5,2,True
f954c1672,5,2,True
c179fa326,5,4,True
c179fa326,5,4,True
c179fa326,5,4,True
c179fa326,5,4,True
c179fa326,5,4,True
c179fa326,5,4,True
ac94e73e6,7,3,True
ac94e73e6,7,3,True
ac94e73e6,7,3,True
ac94e73e6,7,3,True
d9e9b591a,5,5,False
d9e9b591a,5,5,False
d9e9b591a,5,5,False
d9e9b591a,5,5,False
d9e9b591a,5,5,False
52123171a,7,4,True
52123171a,7,4,True
52123171a,7,4,True
52123171a,7,4,True
81cfc3f8c,5,2,True
81cfc3f8c,5,2,True
81cfc3f8c,5,2,True
81cfc3f8c,5,2,True
2d9be16e2,6,2,True
2d9be16e2,6,2,True
d8df976c0,6,2,True
d8df976c0,6,2,True
d8df976c0,6,2,True
d8df976c0,6,2,True
51f90290c,5,1,False
